,labels,text
12234,joy,"Hey thanks, I appreciate it!"
24303,neutral,I'm actually amazed we walked away with 2 points. That 2nd was one of the worst periods I've watched. [NAME] stole that period.
34179,sadness,"Still, itâ€™s legal weed. Sorry, sad [NAME] here.."
33745,love,"I love the guy who is like ""the analogy is daft. Cheese would sink"", like that isn't the point."
37891,neutral,maybe they need Congress to pass a bill to make the music softer than the dialogue
7493,joy,"I haven't ever considered my dense moments could be hormonal! That sounds like something I'd do, haha."
34075,joy,She got me into it so not wrong lol
36320,neutral,You can't be serious.
1617,joy,ğŸ¤£ wow... I read it all in a serious tone until the end! ğŸ¤£
30866,neutral,"And the secret weapon, in case of emergencies: TRIPPLE THE OFFENSE!"
23433,anger,it's basically summer here right now. these posts are clueless.
47794,joy,Thoroughly entertaining.
29652,joy,I'd be a lot more excited to see [NAME] flash the leather at 3b.
5566,sadness,Itâ€™s ironically calling British people ugly as a meme i guess
119,anger,I KILL YOU SCUM
45568,joy,"I got over 900 responses, so it is taking more time that I expected, hopefully will be done by this Sunday."
23848,neutral,The future is now old man
34214,joy,"Thank you, I love Heart and Zeppelin and haven't seen that till now."
45263,neutral,Everything in here I want but all we can do is pray to [NAME] for our wishes to come true
27720,love,This South Florida girl loves Jaxons Ice Cream. Seeing the kitchen sink makes me want to drive home.
9200,joy,That's my favorite! It smells so good without being overpowering.
8172,neutral,"Exactly right about throwing $23M at Donaldson. I mean, are we going for it this year or not? Mixed signals..."
48562,joy,Thanks so much! I'll let you know how it goes when I get a chance to try it :)
35079,sadness,"Yeah I regret ever moving to Leduc. It's one of the most backwoods, proud-to-be-ignorant communities I've ever seen."
45773,joy,Iâ€™m so glad I watched this entire thing. Thatâ€™s incredible.
46060,neutral,#On a rainy day I dont accept any doordash requests unless there is a minimum of $5 bonus
29753,joy,"That's capitalism for you, don't worry though. There's another recession on the way."
34670,anger,[NAME] damn it [NAME]!
1981,neutral,There will *always* someone gaming the system. Always. I still donate food for the other 999 people that really need assistance to get over a tough time.
2806,joy,"Makes me glad I'm almost 50, and all this is stuff I will never ever experience, and frankly can hardly fathom."
46048,joy,So thankful for the conclusion. Having no idea how this played out was definitely going to haunt me
44453,neutral,It was magic.
3092,neutral,Or if he *is* you on another account... Your online self-flagellation isn't doing anyone any good.
31625,neutral,Pretty poor shots mostly. Couple of great saves from [NAME] though.
21563,joy,So cute and there would be nothing with talking to her about it after and both being on the same page
39094,joy,in what universe? lol the mr. blue sky cover is one of the best on the album imo.
22924,joy,The remix is funny man.
16202,joy,Please go to urgent care and get some antibiotics if you have not already. UTIs can become serious if they go untreated.
3655,joy,Love hearing stories like this. [NAME] holy Priests are such a gift. We must always give thanks and pray for them.
5682,surprise,Quit serving money and [NAME] will feed you.
146,joy,"You got it, thanks!"
20415,neutral,>People can literally have conversations with each other just using google. My nipples explode with delight!
11013,anger,"Doesnâ€™t sound like itâ€™s going to work out, sorry dude"
19806,anger,Nothings better then 2 teams that know exactly wut happend/parents that saw the game two coaches and a ref no good lawyer needed rlly just those people to talk
33349,neutral,Also you forget to say how it triggers an Id check which only a assistant can circumvent
2173,fear,Itâ€™s pretty cringe
23938,surprise,Can you expand a bit? That would be interesting for us that are not in the know.
16388,neutral,Feels like bathing in warm piss. Can't wait until summer is over.
13732,joy,Always worth a try. Good luck!
5510,neutral,really odd choose with pairing slack and sunfan together. These 2 should always be paired with a high IQ caster
30586,neutral,"Anything other than harassing motorists or worse, pretty simple."
858,joy,Haha yeah. But still very nice of Ben I hope that the people who got it will use it 24/7
10139,neutral,Then I find writing of us only eating it during winter strange.
32710,joy,lol what? The worst defense in the league? [NAME] its like we're trying to tank.
13770,neutral,"To distinguish it from regular, every day, healthy, non-harmful, non-toxic masculinity of course."
25860,neutral,Posts like these make it more and more clear how creepy [NAME] is
41416,fear,"What a horrible way to find out, though. My sympathies to the dead man."
46816,anger,It's not *literally* the same investigation.
29440,anger,"I am sure that whatever happens in the end, [NAME] will fuck it up."
29469,disgust,"I do not see how that is disgusting. She's cleaning her self and had a discharge, so what? "
5321,joy,"I, personally, am excited to have another agent to make the lab numbers look pretty while the patient dies. "
29300,neutral,Youâ€™re mean
1281,anger,Let them argue. We've never done anything remotely as bad as MOST OF THE WORLD does routinely.
3998,sadness,"A one-line whip is still whipping against, although it is a pretty disappointing decision."
8230,joy,Good loss for the tank. [NAME] and [NAME] played really well.
15575,surprise,How she used the entire video without any editing.... thatâ€™s copyright
10600,joy,Thank you! That's the explanation I was looking for.
15431,anger,"Same here. And I really dislike strangers and groups, so groups of strangers are a next-level nightmare. "
38886,joy,"Because, â€œnah you guys go aheadâ€"
34136,neutral,Coincidence vs correlation vs causation
31470,anger,I dislike [NAME] more and more. Big ego and small feet.
19633,neutral,My [NAME]. If only
3265,joy,Hereâ€™s hoping this ends soon lol
28374,anger,Feeling the hatred towards that person I get. Actually running them off the road and holding them at gunpoint? No way. No way to justify that.
36877,joy,I'm excited as a Lions fan.
18351,anger,If you use one of those two I automatically hate you
10414,surprise,"No seriously, why do you have the Daily Mail app on your phone?"
43247,neutral,Whoever told you that is lying.
34450,surprise,"Where exactly is the irony? His name is not [NAME], and the title, bio, and picture contain no related jokes. "
28948,neutral,This is currently my situation with Metal Gear Solid
3608,neutral,"Go ahead and take them panties off too, we need this OT goal."
1644,joy,"No, I definitely understand that feel and empathize. That can be hard to deal with. How have you been as of late?"
34428,joy,Thanks! There are so many resources available. Thank you for telling me about one that actually helped you
45314,joy,Haha thanks for the warning but we met with her irl before :D
48156,neutral,That is one big pile of cringe.
14257,neutral,"I didn't delete it. Your moderators did. But that's what [NAME] do, they "
8070,joy,I'm not really interested in collecting them but I do enjoy watching videos of people who restore old hotwheels.
14252,surprise,but time is meaningless
14466,surprise,"Wow, you weren't instantly downvoted hundreds of times. The omniscum must have had a salad once and got a protein deficancy."
13423,neutral,You werenâ€™t supposed to know. Youâ€™re not psychic. Heâ€™s being unreasonable
16700,surprise,I canâ€™t believe Iâ€™m agreeing with [NAME].
27111,neutral,Now that you live alone you don't have money left to buy a dishwasher
15946,joy,Iâ€™m super proud of him. Great guy!
34600,anger,This is pretty bad advice. Do not use dreams own encryption. And do not use things such as igolder
38811,joy,"Mail Call, great show, have all of 'em preserved for history. RIP"
37822,joy,Would be fun if our sun was like this :3
35632,joy,I totally agree with you. Porn is unnatural and creates honorless cuckolds.
31592,surprise,"Oh wow okay, where can I get a wind proof lining beaning or scarf? And do I have to cover my eyes or anything?"
5593,neutral,Damn he has a kid with evan rachel wood too. He gets all the honies.
27519,surprise,"I am only sharing what my friends said, what their experience was. I found that a bit surprising."
27728,neutral,Youâ€™ve never shit yourself as an adult?? If an adult can then a kid definitely can
37463,joy,The best part of adult snow days is no make-up!
24343,neutral,don't we all hate them?
20896,joy,"Thanks? Lol. Pairing [NAME] or [NAME] with [NAME], defensively, though? Yikes, to say the least."
40672,neutral,No doubt would start at wing. We need help there and it would help ease him in
6397,sadness,The comment thread is a hot mess and wouldnt be out of place in 2016. How do things not change....
7928,joy,"I would like a link as well, please. :)"
1946,sadness,hit or miss would anybody care or miss huh..? aint nobody love me and ma dad also left me yuh...
20263,joy,"Recover well. (Argh, my english is too terrible ğŸ‡²ğŸ‡«)"
35653,neutral,"GOW always had combat challenges, they just inegrated it more seemlessly this time, instead of having it in a seperate mode in the menu."
13149,joy,That's great! You got this!
37378,joy,Ohh it gets even more interesting:
13695,neutral,What goes up must come down.
22443,anger,Who the fuck leaves a hot iron on the couch
1318,surprise,Has anyone else realized that there are 16 [NAME] on this glorious movie poster?
36986,neutral,I feel like they missed a good opportunity to make the track in the shape of Texas.
2878,neutral,AE think that's looking harder and harder to defend?
32755,fear,Done it since I was a kid I was very edgy
16879,neutral,"Oh, a crow... Doh!"
22048,sadness,Ugh I am in this same place right now. Dating a husband whose wife calls all the shots. I feel for you.
29863,joy,Big thanks dude! This will really help me out
40863,neutral,DAE hate unnecessarily salty people like OP?
9066,neutral,"Heads up guys before you scrutinize me, Yes I know it's ED not ER apologies in advance :)"
29289,neutral,The only thing I find disconcerting about this is that you use tongs to stir the pan.
38135,surprise,Omg saucepan what a daring and unconventional look!!!11
28519,joy,LOL at this question! If he follows the sub...just read the topics for opinions! I call BS!
23010,anger,"And people try to hold that against [NAME] when they should hold that against the Packers organization and Front Office...Their Front Office stopped trying, not [NAME]."
26139,neutral,"Don't worry, nobody expects much from you people anyways."
40500,sadness,I'm just really sad all that cake was wasted.
45231,joy,The myth is about selling shirts. Signing [NAME] opens up much more money making opportunities like commercials.
1150,joy,Australian here. I hereby agree that this does in fact provoke nightmares.
1398,surprise,I wouldn't be surprised if the Cheetos dust was coming out of his sweat.
32601,joy,"Good job! Next, I recommend going NO contact."
3580,neutral,[NAME] also tends to out vote [NAME] in polls in my experience
30022,neutral,AND KEEP ACKBAR
13411,joy,Man I wish they wouldnâ€™t
14731,neutral,"I mean, [NAME] really is downplaying the guysâ€™ friendship. Thatâ€™s suspect to me."
11636,love,Love the cheese!
18172,neutral,Damn we needed that layup
10823,anger,Mr. [NAME]! Nooooo!
27360,joy,Weird but interesting nonetheless.
42240,joy,"Lmao, this guy is a tool."
17334,anger,"Sicko mode is on a whole new level, it cant be compared."
20970,joy,Such a cool pic! Really wish the moon was in the dead middle though ğŸ™ƒğŸ™ƒ
16072,neutral,If it weren't already so delayed
38060,joy,"Im not in a hurry, its my goal for brawlhalla. But after hearing how many hours people have, its gonna be a long journey"
26325,sadness,"If he saw it as something regrettable and possibly embarrassing, and has grown, eh. We all have something embarrassing in our past."
20876,neutral,"Liberal circlejerk â€œ o ya those conservatives suckâ€ 10,000 upvotes"
25889,neutral,Them or me? I like to catch up on it in the afternoon and drinking helped with the last few.
35770,joy,I stopped watching after I had to suffer through a whole episode without [NAME] removing his shirt
45207,neutral,ift yourself up on your feet! Let's get it on!
441,joy,I've been there. It's one of the most diverse places on Earth.
7355,neutral,I don't think that's how shadowy military organizations work [NAME].
16913,joy,"*""Wow""*"
15367,neutral,Why are they asking women and nonwhites specifically?
40478,joy,This thread was actually inspired by one of your comments
3013,neutral,Oh. Well then.
20431,joy,Looks like modern art tbh but its good
29591,love,My 2 year old loves Word Party. Story Bots is another good Netflix option.
31877,neutral,"[NAME] fan here, He did trade [NAME], it was for a 2018 4th and 2019 7th."
21052,neutral,He really do be like that.
32893,joy,Lol always a creepy mike
6543,anger,â€œStart caring about Reddit downvotesâ€ has to be the weirdest life advice Iâ€™ve received in years.
15959,surprise,Omg lmfao!!
47623,joy,"Especially given today's hyperawareness of sexual harassment, it seems like the smart thing to do, to me."
21825,anger,the act of using private companies as platforms to push indoctrination is no less vile than state run companies
24003,neutral,It would be a crime to not invite him.
22345,joy,"LOL yes, this guy might not be too bright. "
5267,joy,Hahaha I was gonna put one of those but I couldnâ€™t remember what they were
2921,joy,I tried at a joke that relates to the post...
34478,joy,"Thanks, it was no effort at all."
5103,neutral,"I used to be subscribed to [NAME] channel. I know we all have troubled pasts, but man..."
46991,love,No!!! I love emojis ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ˜ğŸ’–ğŸ‰
6590,surprise,Yeah my guess at this point is either a 2 year bridge or 8x8.
47735,neutral,I like where youâ€™re going with this....
47381,neutral,Ugh. What a way to go.
28578,joy,"YES [NAME], we're rooting for you! ğŸ‰ğŸ‰"
34071,disgust,"This picture is a prime example that [NAME] are intolerant douchebags who will always demonize wealth, fame, and entertainment."
12713,neutral,The hardship of having the future meet the present. (or something)
5771,surprise,Omg itâ€™s like youâ€™re taking the words from my mind.
1116,neutral,i still remember by my first dodger game in 2001
27213,joy,Expect the unexpected [NAME] funding secured.
41336,joy,I rarely like or comment on YouTube. But I make hella playlists so I guess I use it more as a tool than a community.
10800,surprise,"35k? That's just crazy. Mine was less than 2k, and that includes the wedding dress."
42518,neutral,True. Icing all three of your villains for the duration of the film is a bad idea. They need to be making moves.
9242,neutral,OH YEAH ITS FINE
15127,anger,Just sitting in the fast lane fishing for tickets. Ugh.
29725,joy,Your work is amazing! Really like the Rugrat one. The melting style is so cool. Prices are very reasonable for the quality too
35231,sadness,Aw poor kid. At least he has a bomb-ass name. Too bad he probably doesn't remember it anymore.
7064,neutral,Is it her turn this time?
42867,fear,I find that relatable: I too am terrified of myself.
6824,neutral,"Like the [NAME] twins, I guess."
26837,sadness,"Oh [NAME], even if I had a bf I would be ashamed to have him do that for "
5023,anger,He already sucks. Letâ€™s just nerf him some more.
23628,anger,Thatâ€™s not true. She represents those who voted her into power.
11330,neutral,350 calories The large is 20 oz and itâ€™s 140 per 8 oz so 350
24910,joy,I just got got and I like it
41388,neutral,That woman is on the fast track to being ostracized from that group real quick.
11888,surprise,You mean the millions of college grads living with their parents?
4783,neutral,Ooh I might try that
10188,joy,"Iâ€™ve been on team [NAME] since he won the axe toss competition after the draft, lol"
1630,neutral,Playing pig so you can tbag survivors.
19847,neutral,"Run, run Run for the roses Quicker it opens Sooner it closes Man oh man oh friend of mine All good things in all good time"
2810,neutral,Donâ€™t say his name!!
11512,neutral,"12 years, that's it? Psh I've been dating my gf for 20 and engaged for 10 years"
24330,neutral,[NAME] is poor now so it's open season
44981,neutral,"I remember when two captured ISIS members were discovered to have ordered a book called ""[RELIGION] for dummies"" from Amazon."
44461,anger,You've violated rule 4. Please adhere to the rules of engagement.
45696,love,> Corporate Media I like this one.
33857,surprise,Was Netflix ever $7.99 for HD streaming?
25769,joy,"Depay being a flop at United comes to mind, so good now."
45506,anger,"Well, quite. Now Iâ€™m all annoyed."
43162,neutral,They must have seen you.
39833,disgust,Sign my name to it too lol it was so awful we deserve pain and suffering for that!
27375,neutral,"RemindMe! April 26, 2019"
41626,joy,"Hello, Could you try exiting the game and restarting? Please let us know if you're still getting the pop-up afterward. Thanks!"
1753,joy,That's the spirit ğŸ¤£ for me it's more about strangers wanting to hug me. But you do you ğŸ˜
26283,joy,The absolute subhuman filth that worships [NAME] will believe that this isn't even a photoshop
25367,joy,Prayers for Dipo you guys. Just had a gruesome injury
30972,surprise,"I was impressed by your company in the initial post, but now I see they tried to fire you for their mistake. Glad you had some backing!"
37771,surprise,This is the same federal government that's been shut down for the last month?
15698,sadness,"More insults, [NAME] said my bit now all you have is a show that proves what I said to be the truth, nothing more nothing less."
7846,anger,"So sounds like she was raped, and she seriously needs to press charges, this bartender needs to be raped in prison big time."
20131,anger,Oh fuck off. Soooo...... when is [NAME] and the gang going to un mask [NAME] as President [NAME]?
39328,neutral,I just see two inflated peacocks with a dumb and disgusting look in their face. But unfortunately I am not the gender evaluating them.
25799,joy,I know from personal experience that that can be the end of any good relationship.
27580,neutral,"Haha, no I mean the kind of disposable powerups in a mobile game. Not console/PC games."
1133,surprise,Took me a few time watching it to realize that was a man and not a child.
32840,joy,"Right? That's news to me. I'll be excited when that happens, I wonder how that works."
45455,anger,Fucking parking in the middle of the street through the entire strip of Allegheny
6989,surprise,I donâ€™t get it. Does r/sardonicast actually believe that BP is highly overrated?
23908,neutral,Can someone put it in slow mo
5571,surprise,"So..the head [NAME], is afraid of being rammed?"
4013,surprise,Really? I only remember the one in the movie (which did kinda weird me out)
1752,neutral,Maybe she was having a bad day. But then again at least say hi.
48084,joy,"I appreciate the dedication, but they really didn't have to be silent for three quarters of the game."
44500,joy,"I like this, but it doesnâ€™t quite convey the horrifying rotting smell. It sounds sort of cute! She was not lol "
34108,joy,Itâ€™s a shame there is no sound lol
9340,joy,That was glorious.
27482,joy,I like it I just wish heâ€™d drop the m and apostrophe
44314,surprise,Impact? I'm merely interested in how low you will sink.
38895,joy,"It makes sense, just don't expect much thanks from the rest of them."
36078,neutral,He always missed that key 3rd down catch to keep the drive alive
48079,joy,"Beans, yo! I used to hate them but now I sometimes just eat a can of beans for a meal. They are hella filling too."
43072,neutral,Apparently we are tragedies!
14738,surprise,Is she worse than [NAME] though?
30744,joy,What a great response!!
5778,joy,"i see it in a different way, but i understand why you see it like that"
13583,joy,[NAME] YES!!!
7175,joy,Omg Iâ€™d happily live in Cape Town instead of the US!! Itâ€™s literally one of my favorite cities on earth!!
17061,anger,> and no one but angry community fanboys have pushed back against his statements.
21748,neutral,"Hang on, I'll see if I can find them and then I'll get back to you. :-)"
12211,joy,A is just horrifying. If she were to die Iâ€™d want her to go painlessly
9488,joy,Donâ€™t forget sports gambling. THEN weâ€™ll be happy.
26434,neutral,I should have at your list that I only hope he gets elected!
3798,love,I rly like trench coats Not not in that combination tho
13627,neutral,i met the only girl on the planet who can deal with my headass and still look at me and tell me she loves my anyway
16400,joy,I wish AOC was old enough to run for president
19088,neutral,This video is so very Polish.
40796,neutral,Some aren't. Either way it's a mystery how they obrained so many M1s.
46684,neutral,"Can't wait till the home game in March... And a portland okc playoff series would be ""lit af"" "
29420,neutral,But what if he feels like his position is appealing to those the [NAME] have left behind?
28816,anger,The University of Essex was a mistake. They're not even good at sports.
40075,neutral,Trade up for Haskins. If that doesn't happen give me Greedy.
26247,neutral,"And then another guy comments to congratulate him on getting a comment from her, wishing he could one day get the same. Maaan o man. "
3157,anger,"I almost downvoted you, because â€œBoooooooo!â€"
44641,neutral,Buy YouTube Likes
6293,joy,a partner of mine made it -- it's just about my favorite meme ever
16820,joy,Lol ik it's just I wanted people to figure it out and not the bot to ruin it.
26889,joy,"Great game, great soundtrack. He was like 19 or 20 when he did that too."
39160,neutral,Ghost them. Itâ€™ll drive them crazy and give you the satisfaction
29730,surprise,Didn't he steal something ludicrous like a diamond ring? Like is he a cartoon bad guy?
40509,sadness,What a beautiful memory for you to have found. So sorry for your loss â¤ï¸
8854,joy,"Only the fools would call Saigon the Pear of the Orient, haha. Stop sleeping on the past too much. And stop betraying your country"
10856,sadness,In my few years playing I never knew this ... I feel so lost now
48199,joy,I wish they had what they advertised. The end of that era was sometime in my teens.
1454,neutral,â€œItâ€™s not happening right in front of me if I donâ€™t look at it.â€
4136,anger,"Maybe you should try watching it before commenting on it, otherwise your just posting from a position of ignorance. "
28786,neutral,for sure not natty
18694,joy,Please cut her off from your life. You donâ€™t need to deal with this behaviour. Be safe and please take care.
25684,neutral,Classic [NAME] right there ğŸ¤£
27971,anger,"they sounds like autistic meltdowns triggered by an immense fear of vomiting, nothing much to do"
3253,surprise,"Haven't listened to today's podcast yet, who did [NAME] kill?"
12475,joy,"No that's plenty, you've already proved the original comments point even further."
9324,anger,I'm fully erect tho and I still don't like them
46936,neutral,"Counterpoint, ACAB."
10190,fear,Iâ€™m tired from working hard and I want someone to snuggle me to sleep
11965,neutral,Misogynist! Anti-women! Bigot!
46391,neutral,The one who accidently paid 1 cent less couldn't have just given the other dumb bitch a penny? smdh
28630,neutral,Would be better if not for the stupid gas mask. Should have had it's own comissar cap instead!
24990,neutral,I was going for r/truthtoirony
31313,joy,But the right to not have your property taken away from you is a right.
33165,neutral,"Constitution don't work that way. Burden is always on the Crown, defendant is always presumed innocent. This won't survive the first challenge."
48024,joy,"That's a good idea, I'm going to have to make some room! Thank you. "
26105,neutral,/u/skyboundIan no spoilers in the trailer pretty please :D
13020,joy,To be fair he probably is saying that.
37069,joy,I hope youâ€™re okay. Iâ€™m here to talk if you need someone
38732,anger,Bitch ass n*** [NAME] rooting for [NAME]
10163,anger,For those behind stupid WaPo
17563,anger,"Damn, I didnâ€™t see any monkeys when I was there! What a ripoff."
48865,love,::but I like baby bangs:: /tiny voice
38150,sadness,"Not really. Also itâ€™s Winnipeg, sorry we donâ€™t have the population of Tokyo..."
1900,joy,"Yay, now we're only down by 7"
39452,surprise,"Wow, 5 downvotes in 3 minutes. Go you!"
25204,joy,100% yes. My sister's ex is an actual monster but my niece still sees his family.
40107,neutral,I'M HERE
37932,joy,"Yeah itâ€™s a repost, I saw this same exact post in a different subreddit couple months ago"
8127,surprise,"Huh. Similar things happen to me. Just my big brother believe that I got the wrong diagnoses and Dad think I am ""cured""."
16236,joy,"Cheers man, will be taking it easy for sure. "
1727,sadness,sorry should clarify ... have dinner / drinks and then go our separate ways to other events that night.
42790,joy,"Yep California, I would've been surprised if they cleared him."
27483,joy,This dvd must be pretty hard to come by if itâ€™s going for $49... thank you though I appreciate it.
41632,neutral,"Reminds me of ""It's your city!"" back in The Flash 2X08."
6658,disgust,"I'm more than sure we [NAME] lovers feel the same way, her outfits are awful"
14535,neutral,Yeah for me it takes me weeks to get over s relapse
22613,neutral,Don't get your hopes up; apparently car seats also cause autism:
6897,neutral,The glorious people's republic of Ulster formed from the ashes of carson's arse hairs
34992,joy,So good.
40343,joy,[NAME] I wish that was a more active sub :(
34808,joy,"Happy to not only have the same birthday as him, but to also have a ball he threw into the stands after the middle of the 9th inning. "
13768,joy,[NAME] is honestly really badass and he has a great design I hope they give him something good to do in 11
43283,sadness,I'm sad can someone make me feel better Feel like shit rn just want [NAME] back
40215,surprise,Who wrote the IQ tests?
38491,neutral,They're probably usually too fixated on how they look to even consider their surroundings
28932,neutral,Remind me! 6 months
6748,love,Iâ€™d love that luxury of time.
13403,joy,Never heard of the artist or the song. But it sounds really great! Thank you for sharing!
10852,joy,What a legend.
10681,sadness,He literally laid in pain on the ground after the fight longer than the loser did
24907,surprise,Someone on live chat of the reveal stream said how he actually got confused why they were show casing a Scarlet skin
43692,joy,"Almost in tears watching him celebrate, true captain â¤ï¸"
12897,joy,Thank goodness for that!
7717,neutral,[NAME] will find his form again. Iâ€™m keen to see him link up with [NAME]
22649,joy,"Wish I had something better for you but best of luck to you, this situation sucks "
27994,neutral,Neko Atsume is a really wholesome and cozy game too!
43342,joy,"Hope you're not [RELIGION], 'cause that ain't kosher... "
14005,neutral,Yikes hope hes ok
11739,neutral,Dems can end this. They chose not to.
43785,sadness,It also makes me cry! but because it shows how far [NAME] has fallen...
12079,anger,Wow. I hope that asst manager will be looking for a new job soon.
32313,joy,The best timeline
29539,surprise,Does she not know how cups work?
44899,neutral,Each season gets better and better with season 3 or something you should go back and see what happened.
44370,sadness,Here's a purple heart for you recapping that! OMG matching romantic scoots I'm cryin'
13421,anger,This sum GTA 5 type shit right here.
25030,fear,"This is the most scary [NAME] can ever be to me, cause itâ€™s also the most real he could ever be ğŸ˜‚"
37850,sadness,I'm so sorry that your partner doesn't understand that you no longer want to put hormones in your body.
22525,joy,Her absence is probably the greatest present she can give you. Enjoy it while you can.
47552,neutral,Hi I'm a Thrashers fan! My family was 33rd to pick tickets in Atlanta in for the '99 inaugural season
8905,anger,"Which sucks, because it's a *bitch* to find replacements for those."
3812,joy,when my egg cracked I went through like every teen girl phase in the space of 2 months lol
29631,joy,She looks like a televangelist.
46368,joy,This jokes a name changer
16685,neutral,Aaaaaand he will be feeling that in the morning
3459,love,If I havenâ€™t told you lately...I love you and you are my hero. â¤ï¸â¤ï¸â¤ï¸
33269,anger,This comment has been removed for breaking rule #8.
29125,anger,0% But then again most of us on here aren't placing top 8 at majors so that could factor in
4495,joy,Just rephrased it into two sentences for you. It's a great story!
22670,joy,I agree 100%
419,surprise,"I'm curious though, will they upvote it to own the ~~libs~~ [NAME]?"
27478,neutral,No lights are a problem for the people in front of you. Not the offender.
35751,surprise,Do you want to be promoted to Secreatary of State for the US?
18032,joy,"np, good luck"
8010,neutral,"Been there, done that. Still alive and remarkably healthy at 51. The body is tremendously resilient"
7016,surprise,You really going to claim our foreign policy is equivalent to that of Iran and Russia?
36945,joy,this sort of creativity is awesome to see. play calling done right. chargers going to stomp the pats this weekend
23969,joy,Ha jokes on you guys we still use paper charts
14336,sadness,"I find it sadly ironic that a man's job is to protect his family, yet if he's alone with his children they question their safety."
43912,neutral,Maybe you just enjoy the process of digging? Does it have to be somebody youâ€™re attracted to or have you tried stalking a random person?
36067,love,"I let my cat lick the leftover milk out of the bowl after I eat cereal, he loves it. "
21969,neutral,"They can all argue as much as they want, life simply doesn't work that way. lol"
38144,joy,Lol I do the same. Sometimes it gets stuck in my head for days.
29388,neutral,I know plenty of [NAME] that look down on ä¸­å›½äºº Like theyâ€™ve forgotten the whole reason Singapore exists
6013,joy,"I know right, im pre everything but sometimes i paint my nails and people will tell me how much they look like a womands hands."
32026,neutral,Try to be rational instead of angry.
45514,anger,I donâ€™t care about this mission Texas stuff
11105,joy,Funny how it do
8958,sadness,I'll miss the podcast
20205,surprise,Could you imagine the outrage if Canada rescued one of our citizens from the Saudi courts
41654,joy,Youâ€™re an inspiration
24844,surprise,Idk if I want [NAME] back but I agree with [NAME] ONLY if he keeps playing at this level by the end of he season.
16951,anger,Just doesn't really work if the DM doesn't want it to...
18777,love,"As much as I love the dodgers, I canâ€™t see them in the World Series 3 times in a row... so yeah, backwards."
37845,neutral,"I donâ€™t have a problem with diversity, I just wish it wasnâ€™t so **obvious**"
16025,joy,I fat fingered it haha I meant 18
45020,joy,Ooh! I quite like the swimming pool of makeup as well.
34360,joy,I feel retarded because i laughed
1263,neutral,"> You first. Really. I have. I reject both, but I can do it separately because they're not necessarily correlated beliefs."
16561,neutral,It is if you're a loose spool.
2437,neutral,Yeah I know u irl you look like ur 36.
1686,neutral,I'M SHERRIFF JOHN BUNNELL
7867,anger,Zionism is the ISIS of [RELIGION]. Brainwashed idiots like ISIS.
35142,sadness,"Sadly, it was not"
16031,love,I love to see the Celtics give up [NAME] and [NAME] only to have [NAME] walk to literally any other team
8021,neutral,This wasnâ€™t last year. It was last century! Star Wars had just come out!
11894,neutral,I did this with tuna salad. I already ate tuna a lot (at the time) and itâ€™s a decently blank slate.
32032,love,I love how dramatic it is. It's perfectly self aware
22189,joy,I am so relieved
45855,disgust,I sense no awful taste here.
8932,joy,Want to get a hangover there ğŸ‘ğŸ•ºâ¤ï¸
